2010-01-30,03:20,88.5.98.51,tracker_ad_category,paw1200,,1277,145
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,awm1316e,,1281,
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads_mysites,awm1316e,,1281,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,awm1316e,,1281,111
2010-01-30,03:20,88.5.98.51,tracker_ad_category,awm1316e,,1281,130
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,x1379kda,,1306,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,x1379kda,,1306,130
2010-01-30,03:42,84.104.171.247,tracker_pushy_widget,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,
2010-01-30,03:42,84.104.171.247,tracker_widget_category,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,101
2010-01-30,03:42,84.104.171.247,tracker_widget_category,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,145
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads_mysites,fmj1361,,1316,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,fmj1361,,1316,101
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads_referrals,awm1316e,,1280,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,awm1316e,,1280,101
2010-01-30,03:42,84.104.171.247,tracker_ad_category,awm1316e,,1280,130
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,rfe1319,,1317,108
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,g1341xr,,1288,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,g1341xr,,1288,101
2010-01-30,03:42,84.104.171.247,tracker_ad_category,g1341xr,,1288,108
2010-01-30,03:42,84.104.171.247,tracker_ad_category,g1341xr,,1288,130
2010-01-30,03:42,84.104.171.247,tracker_ad_category,g1341xr,,1288,138
2010-01-30,03:42,84.104.171.247,tracker_ad_category,g1341xr,,1288,139
2010-01-30,03:42,84.104.171.247,tracker_ad_category,g1341xr,,1288,145
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,paw1200,,1277,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,paw1200,,1277,101
2010-01-30,03:42,84.104.171.247,tracker_ad_category,paw1200,,1277,108
2010-01-30,03:42,84.104.171.247,tracker_ad_category,paw1200,,1277,118
2010-01-30,03:42,84.104.171.247,tracker_ad_category,paw1200,,1277,130
2010-01-30,03:42,84.104.171.247,tracker_ad_category,paw1200,,1277,145
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,awm1316e,,1281,
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads_referrals,awm1316e,,1281,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,awm1316e,,1281,111
2010-01-30,03:42,84.104.171.247,tracker_ad_category,awm1316e,,1281,130
2010-01-30,03:42,84.104.171.247,tracker_pushy_ads,x1379kda,,1306,
2010-01-30,03:42,84.104.171.247,tracker_ad_category,x1379kda,,1306,130
2010-01-30,03:42,122.169.160.209,tracker_affiliate_page,awm1316e,,,other
2010-01-30,03:43,90.168.199.175,tracker_pushy_widget,awm1316e,390662654d3a702e71dc4f1e900e7157@scincare,,
2010-01-30,04:06,81.32.147.249,tracker_pushy_widget,awm1316e,3a146c5d8c28ff252045d71e79579358@webbizhome,,
2010-01-30,04:06,81.32.147.249,tracker_widget_category,awm1316e,3a146c5d8c28ff252045d71e79579358@webbizhome,,101
2010-01-30,04:06,81.32.147.249,tracker_widget_category,awm1316e,3a146c5d8c28ff252045d71e79579358@webbizhome,,130
2010-01-30,04:06,81.32.147.249,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,04:06,81.32.147.249,tracker_pushy_ads_mysites,awm1316e,,1280,
2010-01-30,04:06,81.32.147.249,tracker_ad_category,awm1316e,,1280,101
2010-01-30,04:06,81.32.147.249,tracker_ad_category,awm1316e,,1280,130
2010-01-30,04:06,81.32.147.249,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,04:06,81.32.147.249,tracker_ad_category,fmj1361,,1316,101
2010-01-30,04:06,81.32.147.249,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,04:06,81.32.147.249,tracker_ad_category,rfe1319,,1317,108
2010-01-30,04:06,81.32.147.249,tracker_pushy_ads,g1341xr,,1288,
2010-01-30,04:06,81.32.147.249,tracker_ad_category,g1341xr,,1288,101
